Freq,Vel_ray,Vel_lov
3.037903279,447.7126739,392.9584421
3.113850861,438.7834207,387.8568811
3.191697132,429.8764237,382.8737839
3.271489561,421.1339991,377.9956387
3.3532768,412.6822209,373.2088872
3.43710872,404.6205862,368.500105
3.523036438,397.0175322,363.8561864
3.611112349,389.9112865,359.2645402
3.701390157,383.3143505,354.7133054
3.793924911,377.2194019,350.1915896
3.888773034,371.605272,345.6897343
3.98599236,366.4420251,341.1996278
4.085642169,361.6948604,336.7148962
4.187783223,357.3268916,332.2313755
4.292477804,353.3009905,327.7472612
4.399789749,349.5809009,323.2633535
4.509784493,346.1318367,318.783183
4.622529105,342.9207217,314.3129853
4.738092332,339.9161876,309.8615615
4.856544641,337.088411,305.4399469
4.977958257,334.4088424,301.0609343
5.102407213,331.8498574,296.738475
5.229967394,329.3843487,292.4870086
5.360716578,326.9852612,288.3207853
5.494734493,324.6250734,284.2532546
5.632102855,322.2752166,280.2964751
5.772905427,319.9054283,276.4608672
5.917228062,317.4830425,272.7548132
6.065158764,314.9722312,269.1847228
6.216787733,312.333249,265.7549368
6.372207426,309.5217904,262.4679171
6.531512612,306.4886726,259.3244204
6.694800427,303.1802195,256.3237234
6.862170438,299.5399528,253.463861
7.033724699,295.5123125,250.7418615
7.209567816,291.0495625,248.1539655
7.389807012,286.1219162,245.6958226
7.574552187,280.7304358,243.3626628
7.763915992,274.9192749,241.1494413
7.958013891,268.7817364,239.0509576
8.156964239,262.4548269,237.0619533
8.360888345,256.1006589,235.1771876
8.569910553,249.8804098,233.391483
8.784158317,243.930423,231.6998262
9.003762275,238.3482041,230.0973169
9.228856332,233.190123,228.5792453
9.45957774,228.4772885,227.1410943
9.696067184,224.2050409,225.7785476
9.938468863,220.352253,224.4874937
10.18693058,216.8887805,223.2640258
10.44160385,213.7806868,222.1044395
10.70264395,210.9935692,221.0052277
10.97021004,208.4944613,219.9630748
11.2444653,206.2528256,218.9748489
11.52557693,204.2409467,218.0375945
11.81371635,202.433975,217.1485238
12.10905926,200.8098517,216.3050088
12.41178574,199.348965,215.5045723
12.72208038,198.0340593,214.74488
13.04013239,196.8498453,214.0237325
13.3661357,195.7828241,213.3390574
13.7002891,194.82104,212.6889016
14.04279632,193.9538996,212.0714248
14.39386623,193.1719809,211.4848921
14.75371289,192.4669274,210.927668
15.12255571,191.8312542,210.3982102
15.5006196,191.2582762,209.8950638
15.88813509,190.7420015,209.4168562
16.28533847,190.2770477,208.9622921
16.69247193,189.8585699,208.5301483
17.10978373,189.4821983,208.1192701
17.53752832,189.1439842,207.7285662
17.97596653,188.8403537,207.3570057
18.4253657,188.5680665,207.003614
18.88599984,188.3241811,206.6674695
19.35814983,188.1060236,206.3477006
19.84210358,187.9111669,206.0434951
